"","Card.Number","Date","flow","day"
"4577","3397007948",2017-09-18,"Gulf Host",2
"4578","3397007950",2017-09-18,"Gulf Host",2
"4579","3397007950",2017-09-19,"Gulf Host",3
"4580","3397007955",2017-09-20,"Yummex",4
"4581","3397007959",2017-09-20,"Yummex",4
"4582","3397007963",2017-09-18,"Yummex-Gulf Host",2
"4583","3397007965",2017-09-18,"Yummex-Gulf Host",2
"4584","3397007969",2017-09-19,"Gulf Host-Yummex-Gulf Host",3
"4585","3397007969",2017-09-20,"Gulf Host",4
"4586","3397007972",2017-09-18,"Gulf Host",2
"4587","3397007972",2017-09-19,"Yummex-Gulf Host",3
"4588","3397007975",2017-09-20,"Yummex-The Specialty Food Festival-Yummex",4
"4589","3397007988",2017-09-18,"Yummex",2
"4590","3397007995",2017-09-19,"Gulf Host-Yummex",3
"4591","3397008002",2017-09-18,"Yummex",2
"4592","3397008004",2017-09-19,"Yummex",3
"4593","3397008005",2017-09-20,"Gulf Host-Yummex-Gulf Host-Yummex",4
"4594","3397008006",2017-09-18,"Gulf Host",2
"4595","3397008007",2017-09-18,"Gulf Host",2
"4596","3397008009",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4597","3397008019",2017-09-18,"Yummex-Gulf Host",2
"4598","3397008019",2017-09-20,"Gulf Host-Yummex",4
"4599","3397008021",2017-09-18,"Gulf Host",2
"4600","3397008024",2017-09-18,"Yummex",2
"4601","3397008049",2017-09-20,"Yummex-Gulf Host",4
"4602","3397008052",2017-09-18,"Gulf Host",2
"4603","3397008056",2017-09-19,"Crossover into Hotel / Leisure",3
"4604","3397008058",2017-09-18,"Yummex-Gulf Host-Yummex-Gulf Host",2
"4605","3397008058",2017-09-19,"Gulf Host",3
"4606","3397008058",2017-09-20,"Gulf Host",4
"4607","3397008078",2017-09-19,"Yummex-Seafex-Yummex-Crossover into Hotel / Leisure",3
"4608","3397008078",2017-09-20,"Gulf Host",4
"4609","3397008087",2017-09-18,"Yummex-Gulf Host",2
"4610","3397008099",2017-09-19,"Crossover into Hotel / Leisure",3
"4611","3397008116",2017-09-20,"Gulf Host-Yummex",4
"4612","3397008123",2017-09-18,"Gulf Host",2
"4613","3397008126",2017-09-18,"Yummex-Gulf Host-Yummex",2
"4614","3397008126",2017-09-20,"Yummex-The Specialty Food Festival",4
"4615","3397008133",2017-09-18,"Gulf Host",2
"4616","3397008133",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4617","3397008135",2017-09-18,"Gulf Host-Yummex",2
"4618","3397008135",2017-09-19,"Seafex-Yummex-Seafex-Crossover into Hotel / Leisure",3
"4619","3397008135",2017-09-20,"Seafex-Gulf Host-Yummex-Seafex",4
"4620","3397008136",2017-09-18,"Gulf Host",2
"4621","3397008136",2017-09-19,"Gulf Host",3
"4622","3397008138",2017-09-19,"Crossover into Hotel / Leisure-The Specialty Food Festival",3
"4623","3397008145",2017-09-18,"Gulf Host",2
"4624","3397008145",2017-09-19,"Gulf Host",3
"4625","3397008149",2017-09-19,"Crossover into Hotel / Leisure",3
"4626","3397008153",2017-09-18,"Gulf Host",2
"4627","3397008153",2017-09-19,"Gulf Host",3
"4628","3397008153",2017-09-20,"Gulf Host",4
"4629","3397008163",2017-09-19,"Crossover into Hotel / Leisure-The Specialty Food Festival",3
"4630","3397008170",2017-09-18,"Gulf Host-Yummex",2
"4631","3397008170",2017-09-19,"Yummex",3
"4632","3397008173",2017-09-19,"Crossover into Hotel / Leisure",3
"4633","3397008181",2017-09-18,"Yummex",2
"4634","3397008200",2017-09-19,"Yummex",3
"4635","3397008208",2017-09-19,"Gulf Host",3
"4636","3397008223",2017-09-18,"Gulf Host",2
"4637","3397008223",2017-09-19,"Gulf Host",3
"4638","3397008233",2017-09-20,"Gulf Host",4
"4639","3397008236",2017-09-18,"Yummex",2
"4640","3397008243",2017-09-18,"Seafex",2
"4641","3397008243",2017-09-19,"Gulf Host",3
"4642","3397008243",2017-09-20,"Gulf Host",4
"4643","3397008244",2017-09-20,"Gulf Host-Yummex",4
"4644","3397008245",2017-09-20,"Yummex-Gulf Host",4
"4645","3397008250",2017-09-19,"Crossover into Hotel / Leisure",3
"4646","3397008253",2017-09-18,"Yummex",2
"4647","3397008258",2017-09-19,"Yummex-Gulf Host",3
"4648","3397008261",2017-09-20,"Yummex-Gulf Host",4
"4649","3397008263",2017-09-19,"Crossover into Hotel / Leisure",3
"4650","3397008279",2017-09-18,"Gulf Host",2
"4651","3397008279",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4652","3397008280",2017-09-20,"Yummex",4
"4653","3397008282",2017-09-20,"Gulf Host",4
"4654","3397008283",2017-09-19,"Gulf Host",3
"4655","3397008284",2017-09-19,"Gulf Host",3
"4656","3397008286",2017-09-19,"Gulf Host",3
"4657","3397008288",2017-09-19,"Gulf Host",3
"4658","3397008298",2017-09-18,"Yummex-Gulf Host",2
"4659","3397008309",2017-09-18,"Gulf Host",2
"4660","3397008309",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure",3
"4661","3397008309",2017-09-20,"Gulf Host",4
"4662","3397008311",2017-09-18,"Yummex",2
"4663","3397008312",2017-09-18,"Gulf Host-Yummex-The Specialty Food Festival",2
"4664","3397008312",2017-09-19,"Gulf Host-Crossover into Hotel / Leisure-Yummex-Gulf Host",3
"4665","3397008312",2017-09-20,"Gulf Host-Yummex-Gulf Host-Yummex-Gulf Host",4
"4666","3397008314",2017-09-20,"Gulf Host-Yummex",4
"4667","3397008316",2017-09-20,"Gulf Host-Yummex-Gulf Host",4
"4668","3397008324",2017-09-20,"Gulf Host-Yummex",4
"4669","3397008327",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4670","3397008327",2017-09-20,"Yummex",4
"4671","3397008339",2017-09-18,"Yummex",2
"4672","3397008339",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4673","3397008339",2017-09-20,"Yummex",4
"4674","3397008347",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"4675","3397008365",2017-09-19,"Gulf Host-Yummex",3
"4676","3397008367",2017-09-20,"Yummex-Gulf Host",4
"4677","3397008372",2017-09-19,"Crossover into Hotel / Leisure",3
"4678","3397008376",2017-09-18,"Yummex-Gulf Host",2
"4679","3397008378",2017-09-19,"Crossover into Hotel / Leisure",3
"4680","3397008380",2017-09-19,"Crossover into Hotel / Leisure",3
"4681","3397008380",2017-09-20,"Yummex-Gulf Host-Yummex",4
"4682","3397008391",2017-09-19,"Crossover into Hotel / Leisure",3
"4683","3397008393",2017-09-18,"Gulf Host",2
"4684","3397008405",2017-09-19,"Crossover into Hotel / Leisure",3
"4685","3397008407",2017-09-18,"Yummex-Gulf Host",2
"4686","3397008410",2017-09-18,"Yummex-Gulf Host",2
"4687","3397008413",2017-09-19,"Crossover into Hotel / Leisure",3
"4688","3397008417",2017-09-18,"Yummex",2
"4689","3397008419",2017-09-19,"Crossover into Hotel / Leisure",3
"4690","3397008421",2017-09-18,"Gulf Host",2
"4691","3397008438",2017-09-18,"Gulf Host-Yummex-Gulf Host",2
"4692","3397008438",2017-09-19,"Gulf Host-Seafex-Crossover into Hotel / Leisure-Gulf Host-Crossover into Hotel / Leisure",3
"4693","3397008438",2017-09-20,"Gulf Host-Yummex",4
"4694","3397008443",2017-09-19,"Gulf Host",3
"4695","3397008443",2017-09-20,"Gulf Host",4
"4696","3397008452",2017-09-19,"Crossover into Hotel / Leisure",3
"4697","3397008453",2017-09-19,"Gulf Host",3
"4698","3397008453",2017-09-20,"Yummex",4
"4699","3397008454",2017-09-18,"Yummex",2
"4700","3397008457",2017-09-19,"Yummex",3
"4701","3397008458",2017-09-18,"Gulf Host",2
"4702","3397008471",2017-09-18,"Yummex",2
"4703","3397008472",2017-09-18,"Yummex",2
"4704","3397008484",2017-09-18,"Yummex",2
"4705","3397008485",2017-09-18,"Yummex",2
"4706","3397008486",2017-09-20,"Gulf Host-Yummex",4
"4707","3397008488",2017-09-18,"Gulf Host",2
"4708","3397008490",2017-09-18,"Gulf Host-Yummex-Gulf Host",2
"4709","3397008490",2017-09-19,"Gulf Host-Yummex",3
"4710","3397008490",2017-09-20,"Yummex-Gulf Host",4
"4711","3397008492",2017-09-18,"Yummex",2
"4712","3397008498",2017-09-20,"Yummex-The Specialty Food Festival-Yummex",4
"4713","3397008502",2017-09-19,"Yummex",3
"4714","3397008503",2017-09-19,"Yummex",3
"4715","3397008526",2017-09-18,"Yummex",2
"4716","3397008526",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"4717","3397008532",2017-09-18,"Yummex-Gulf Host",2
"4718","3397008534",2017-09-20,"Gulf Host",4
"4719","3397008535",2017-09-19,"Crossover into Hotel / Leisure",3
"4720","3397008539",2017-09-19,"Yummex",3
"4721","3397008545",2017-09-19,"Gulf Host",3
"4722","3397008546",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"4723","3397008548",2017-09-18,"Gulf Host",2
"4724","3397008567",2017-09-19,"Gulf Host",3
"4725","3397008567",2017-09-20,"Gulf Host",4
"4726","3397008577",2017-09-19,"Crossover into Hotel / Leisure",3
"4727","3397008577",2017-09-20,"Yummex",4
"4728","3397008578",2017-09-18,"Yummex",2
"4729","3397008585",2017-09-18,"Yummex",2
"4730","3397008592",2017-09-18,"Gulf Host-Yummex",2
"4731","3397008606",2017-09-19,"Yummex-Gulf Host",3
"4732","3397008612",2017-09-20,"Yummex",4
"4733","3397008621",2017-09-19,"Crossover into Hotel / Leisure-The Specialty Food Festival-Gulf Host",3
"4734","3397008623",2017-09-18,"Yummex",2
"4735","3397008624",2017-09-18,"Yummex",2
"4736","3397008640",2017-09-19,"Yummex",3
"4737","3397008642",2017-09-19,"Crossover into Hotel / Leisure",3
"4738","3397008644",2017-09-18,"Yummex",2
"4739","3397008644",2017-09-20,"Gulf Host",4
"4740","3397008645",2017-09-19,"Crossover into Hotel / Leisure",3
"4741","3397008645",2017-09-20,"Yummex",4
"4742","3397008654",2017-09-19,"Gulf Host-Yummex",3
"4743","3397008655",2017-09-19,"Crossover into Hotel / Leisure",3
"4744","3397008659",2017-09-18,"Yummex",2
"4745","3397008659",2017-09-20,"Gulf Host-Yummex",4
"4746","3397008673",2017-09-18,"Gulf Host",2
